,6-1,6-2,6-3,6-4,6-5,6-6,6-7,6-8,6-9,6-10,6-11,6-12,6-13,6-14,6-15,6-16,6-17,6-18,6-19,6-20,6-21,6-22,6-23,6-24,6-25,6-26,6-27,6-28,6-29,6-30,6-31,7-1,7-2,7-3,7-4,7-5,7-6,7-7,7-8,7-9,7-10,7-11,7-12,7-13,7-14,7-15,7-16,7-17,7-18,7-19,7-20,7-21,7-22,7-23,7-24,7-25,7-26,7-27,7-28,7-29,7-30,7-31,8-1,8-2,8-3,8-4,8-5,8-6,8-7,8-8,8-9,8-10,8-11,8-12,8-13,8-14,8-15,8-16,8-17,8-18,8-19,8-20,8-21,8-22,8-23,8-24,8-25,8-26,8-27,8-28,8-29,8-30,8-31
Humberto Perez Line,80.19009649455191,93.0389013165215,70.63680503461302,75.75294411760896,87.82340779638555,91.30600439795371,81.55937445483576,74.49467737583683,78.29254738819994,92.46901834999916,96.63464177133248,84.09143168760886,89.38354470921988,86.02472012034346,84.80024821184824,95.57237338473804,96.57317873716124,85.49882996307673,95.88794215588094,96.24014548006382,80.67206414715592,70.93073782347422,90.09133903579809,77.57048015701602,72.43724262195103,91.65653319525104,76.1766204105578,77.93959447618383,80.10852063764992,83.46564711390438,80.46613882765055,76.38571880895636,92.04277806679444,78.81344686457845,77.76884980133144,83.75550998080878,79.3233599203913,96.06338843975512,78.37742795267556,76.86991761543442,78.54994392977326,101.57328910134854,84.90515520430624,96.73724402678728,92.25707143493092,76.58168210245103,101.8645687299032,98.2243708802664,103.17816284826723,85.86838187695506,100.4790278368977,86.56406135407867,92.87013683950624,77.02201762549579,100.50798576742376,95.0696338756875,97.99734204094553,95.8393882202855,87.05685540482908,83.32407796883099,82.49099191178618,80.39940673974029,101.11888604944168,76.92672196646218,77.8150689503349,86.40507131984985,89.64122751977206,77.7786534098211,94.38118135905091,75.2890041086867,74.10515147440248,77.58829121866208,81.39258343704137,76.96906096714271,98.42026766662332,92.31208200433818,76.58356353499077,83.70300937561133,82.32984906352625,79.06732057011313,75.5589907842724,83.97359362540821,88.18698260171479,91.81873838320826,89.76654819990301,95.43628320722344,98.02265904753617,102.741947172842,79.25134293563391,78.027389926703,82.54888093855128,82.78601402492112,99.71385461450568
Kyle Bradford Line,94.57134663617752,78.22717789732745,94.6369659948213,86.83010806214497,73.86209688781753,96.97985513927588,73.51010738561843,92.05288709894624,90.69893624839202,76.54421712606609,89.956682290342,90.35629396819613,76.77710744308386,90.04051254047187,74.03351570467488,93.83251988174008,79.42373025040732,80.63215261742118,90.0426158978246,90.1763437648582,87.04742271579428,92.70083598683904,94.22900290708132,80.91373526366439,96.42074910978997,80.84464522567329,89.3161813816423,80.27614583752661,87.54659367071454,73.18532891475708,88.18371150406875,98.72653757987926,97.07350368426177,91.65542935942892,93.00837121873737,103.96293940003936,103.99120723294588,80.9380151904376,82.31468985619183,83.47081103150298,88.99854004596679,77.96156962389341,81.33220879372111,86.52790115260743,100.83415131675709,85.97808517447905,94.0266716152622,93.51925688453032,80.45449031322026,99.4154648295264,82.22171057809412,92.25470968861868,85.71720815279133,87.94227430112109,83.67686517997862,87.96048126080998,103.256491364381,96.55947993381976,86.4126253222336,89.50506524739583,100.30239910964453,103.36003686482468,79.30652764770448,80.90196563841305,100.56782259810949,79.44728188781694,79.42155915421343,89.13370080360764,95.99647873212156,96.65084000452048,95.28844158084308,82.27373599024627,92.9466814039782,78.68879419637626,101.34107563712593,96.58980843995433,94.63331929415484,89.63205288816944,79.20247179685617,102.00401388462222,80.32347287869224,96.89054834960612,99.9484670082666,96.69318873351408,101.58994655472172,92.15792908180735,76.82987531250608,84.64800380820135,100.04088340559224,79.26562580603151,94.84472684848016,85.58311839297112,91.16687499759598
Daniel Gonzalez Line,88.91176484951573,86.70371466284176,96.07126826571697,79.5456226101645,71.84648168491005,81.54858705326747,79.61192395024437,73.05504270624378,95.65553185783357,86.74017074089838,71.54080925992218,75.88867937368997,96.23827878891554,78.37716416845916,70.05535477828379,85.13690221621837,76.1631037549052,86.45989883645116,73.93131850326264,89.0176334930302,84.05370413021774,72.25664567748176,94.44353449976283,88.35111930465422,91.37132208305344,79.4378424667495,82.37588767782758,80.45102453465128,78.08942416216331,73.64000069693006,96.0401400750621,78.5782149882889,82.60133686956512,98.7137182997946,103.51431312015264,76.02025421877521,98.27228485994894,77.20275220738793,86.68436736446031,95.81555615785,102.73205140517992,89.79945169353552,76.26502952429486,80.67316359094266,102.2013744138258,97.10801997712989,100.4057153320406,87.30050397755738,97.1115373415855,101.4888814664818,99.43484163476872,78.88217057550813,81.04703861188617,88.6441090815058,93.68104567451266,95.56959347163274,91.3837566552354,98.79917830242675,102.54932981347288,90.335820249586,77.39512521046632,100.77260393264557,89.86844733224402,84.62969250804139,92.83650718596655,91.68368271568193,94.8531951165444,84.51363847361758,82.4167286146029,77.862687286225,94.04496512829444,102.2698076548632,90.55008301249588,101.90249494173476,82.53005773047965,97.60945228652764,77.72057849262616,79.87031563527579,96.9610876895899,91.1837073070523,91.5645540707043,88.10179688883989,85.74683289646443,93.33675087918316,79.18564233845161,74.40253357737328,92.80771916175829,99.32807825184769,77.4031902633672,83.55351654679694,77.21985029730763,92.96802872250385,90.12230463872132
Cheryl White Line,94.85144127818285,88.65803201428292,73.02261802397689,71.80318559456916,71.28963696393441,90.71954604582194,76.84068291980984,89.79559829816111,83.15226853416088,77.30908632633796,76.42550804231227,91.6487124497909,73.06708981982142,85.5149306506683,95.56747043249834,94.8247381197708,73.4172804428861,76.55057577549111,88.18144688933327,73.76769403410132,86.64090040803863,84.29668561173682,83.45337819821141,72.24547586359876,92.17305965822489,84.72399165190167,89.86210919608514,81.16948756752336,78.14434977745101,90.76252065525397,82.91205123742026,76.96765377896362,96.01059679677128,101.61608933579176,81.59144253939763,83.45721936220056,100.22778685467802,90.77125980399472,92.67055808570558,92.75473524190346,80.32100385911075,76.7947655115855,87.3078144021755,95.62139308772556,81.80454340152656,82.72047214698202,80.71153410633757,79.1298316311527,84.79611047434352,88.93018035506495,100.65722380366908,93.29498716593434,91.06930569125636,95.37923840534653,88.59760354980173,86.6491110159833,78.87982656245784,90.30459944057874,99.2090127113458,86.35785017225659,81.02317843038873,83.50610060599304,79.46059373279314,82.48657224440673,97.1756476550255,95.90722279038968,77.52107564443995,94.9793237961544,81.84424718711134,90.7697806012282,76.46575795777255,86.38577584787987,92.95991720347888,100.1432808611584,75.29718037880053,91.1023252764738,78.53576367015138,74.56958289071932,95.17332173626406,99.1652798495748,97.47106720433044,91.92170209629468,90.24542749642838,76.8846075155936,97.97419241387011,84.07306980921011,79.6258749012901,80.42197994725143,81.33363179753718,100.08987751610869,80.79782166427898,99.34447649748115,86.87275595123855
Gordon Atkins Line,70.77712773601205,77.42552063526804,80.8833068844308,70.61976315443648,92.87790408018,76.69755167520668,87.36077331670987,82.9360813994271,83.93611385315181,92.67493006569212,87.64527336296409,72.64649469283708,74.37327810995943,87.12896731725313,88.27395266210166,88.2336605936126,74.6002915342698,74.35061914920753,88.07006624860226,72.17573574435123,76.3297755482248,82.83189921568149,96.52601827704962,90.06006754856443,74.56595847346986,86.87845055603756,90.37420055330249,94.82534358001652,96.37088491505274,70.50758160372783,80.60964965138527,96.83039799305888,83.62420083868082,99.8793242628318,86.76176697789423,77.55973157043054,78.45357348268013,89.25521000840446,96.1282953237676,89.9614016570847,100.98761558680886,93.55125441726965,77.23783607587436,101.97971480552349,90.85697172709722,101.3442667401768,103.4415493344869,97.38466248911264,83.76150009608068,84.95058857170156,85.65494668514636,95.90894969397682,91.92349768666426,77.77130970955854,87.71995443390907,93.72872573988,102.17302299509342,99.70842144088188,87.47670853226076,82.98635551800585,82.5733572496469,76.27437582781553,95.73853575773114,88.76089777616562,74.16502027113924,83.07950476971988,83.18290182221637,82.02660521915125,88.00700118827297,78.2194307508847,76.43298912313685,74.04564149715152,74.3062250232945,80.8504486954763,83.59519694246008,84.95778644058782,102.99661693137614,76.38782139365557,82.88472328862824,102.34447895069776,84.07972695928737,75.60159743653395,97.17649620456405,93.6679395859359,86.87373625955522,82.69653691300053,97.35252886707792,74.54057185976313,86.20585073699706,101.51724291365728,85.39699310127313,91.3090315232549,75.75476453957252
James Breeden Line,76.3643512849439,95.34543192741413,82.3985932200778,84.46773789382661,72.1428120148709,78.21502937080594,83.76205402794557,71.68455866425748,85.03152947836075,77.78399842713664,87.09346769279828,75.73250903754459,71.51591831054616,81.67259937583991,80.88436472523304,84.14620764704284,93.97236533963896,89.68333573283289,72.09276963687026,95.35696933626896,93.42464614657456,86.50579416911353,86.11740239276287,70.59996184253663,84.13926193950202,71.82647704959464,81.48753297368063,76.33970899561285,93.19838172828764,91.99886766195416,93.73457555275988,94.16554446358928,76.36730570830515,84.37269408247995,80.2999745653559,86.92196750097331,100.06313119783408,76.95012195629613,99.41884788281604,87.14966489218511,89.74116280211705,79.28793287468778,103.57929090808544,76.70138033547892,91.09134918772796,81.50693505020571,77.59474504108888,82.78309140232379,96.76679158897578,96.32722551191172,99.71739337601954,100.95587492425136,89.32668592753078,91.7768106550973,81.07314841982057,78.60824205070082,79.05128763724777,85.70200349620004,103.63556177748303,99.16039640008631,97.95090336855338,93.1048834496518,101.63289406826615,83.00633684194521,79.6039649436408,87.99250453115386,91.6993903620438,79.85889482537226,97.55929720623266,77.52737309078644,82.12723111305517,75.14448063493592,80.93440977866189,98.85977837195335,98.25268845779362,98.34419907864446,83.89466928664288,94.27990850654663,81.96276752076008,87.1013841581592,79.73899950548838,81.70750271418777,102.45198962709244,91.7531605111527,81.14336389708392,96.32096919530878,97.572737577425,76.47125165625395,74.67082901035988,92.31370534225442,89.0784367203552,74.3823327489244,74.86146656521447
Michael Hastings Line,89.63804453067813,96.5019373621981,80.14051600361955,74.45273703562424,84.11618513524238,79.14063792665979,85.57369415943333,86.71116746200187,77.7024327009742,75.62155893382422,75.2324235114314,77.89583364531653,96.062661433006,72.7922391966386,83.06713921372364,76.98495959038121,74.77131901230446,90.16507673587068,85.98307386562075,89.81295361956745,85.89863416712198,91.8194908240561,71.96764452306068,88.51191823328699,87.70961982436273,71.287261053741,82.8712749150121,78.3937926470457,88.9577836920325,71.84512308636768,77.5771574625484,85.20717237527319,80.42508985789046,97.78955033210804,85.06254794704589,102.7851898726084,89.77077133333086,92.2884340387768,86.96914300179105,83.55355919313374,103.05239383881404,79.66056973258222,91.47870437532993,92.5002084164805,97.11642185702664,84.3239023211941,89.57006552740242,76.25247851003263,101.12028402636324,86.59744884277586,86.88715419943946,93.56089780244912,78.65936022605825,102.9701017168675,88.62833828395637,77.9110552915785,99.69790416688149,96.90713103664856,93.28829925222456,84.66303633761282,90.25075732266308,83.0144910077223,94.77225913172006,87.07832181815971,93.91705131517102,75.40748533109962,100.7834295086395,76.44392674984616,99.4828589334553,88.06880532174485,84.39696389202297,96.6564730477808,74.63920884572832,76.67698315022753,100.69105433817306,97.70772243593724,74.81308866293804,78.2114814075466,79.00435846157276,86.39652420635578,77.29675780039531,81.1402602517715,79.11189426266796,86.1141235614536,91.23521204565998,88.21306474678146,86.02190283059689,83.04641489862261,78.35748332992021,101.76915092514962,85.24938609708435,78.34680882755777,93.03283087651477
Marjorie Edmondson Line,82.77701961232293,86.80559142917971,81.18162694733121,95.66102737545032,77.34506603447598,92.7947318829406,70.2290520659396,91.21324828291712,71.5743658733082,94.05448900515732,72.11986637824545,77.72659763696394,79.3655247099276,88.38856792313821,85.13801634789479,79.69523080130656,72.31463518350641,74.03545309308726,70.23914113089981,78.30982686822786,93.60961570369042,82.10101607919061,74.06618272118446,75.83627427076333,74.26482433101869,86.59489648362742,76.84881900663922,88.43111564215772,96.19908169278486,90.4014875126817,93.55385983971988,92.6630820738528,92.88623788172062,77.51644917534745,99.76266362400324,88.41877145061717,95.4436306770508,85.43679925563097,90.52124084145584,93.0362813917016,96.2965531249056,87.19682876265904,87.79341420473025,80.05467047914263,99.83400137618688,93.26189926087358,88.04721958085932,85.22335650711221,102.78517216343946,77.36577505014442,83.63609440458619,77.68387115650862,102.1484608772381,95.58451507630228,92.18139803972684,84.6964506974194,84.52589501718985,91.46928567943802,79.61844966318668,93.95714785242728,94.57882857724012,100.12979191403711,101.34031064592784,89.01373280488605,74.74911617356376,79.84713759603724,84.14600054859895,95.59896654995484,84.92622434062078,77.36600693145986,78.3417219578786,79.65522010096643,100.43369290765136,95.65601307928875,78.59287496517155,96.96822095984722,77.35028317232731,98.5480616909949,99.89050191684096,75.15119275115738,93.44990670889716,86.82848953101012,79.0651205449418,96.43831501284428,79.8779446028713,99.39883005874464,91.43699780389888,85.48597269071837,96.22808025788524,75.28287073089315,97.55501386230335,97.46704258453715,87.5415323486066
Kareem Linebarger Line,76.54236135434945,93.7796361851952,91.8064922424864,78.02232666750695,75.8576408206542,87.71278998949715,73.66404775952611,80.78123332371281,90.43275432653635,95.74808682538443,82.75857423152283,71.17374355051021,73.60175585452298,87.05393369450333,95.8405901919706,89.99899370751058,84.63917312446736,86.77002087354836,94.61849309626264,75.76079203730349,80.1509832255952,84.73762663798496,90.20899184145004,84.41740515350155,79.88201224837758,96.93131120845084,89.19600680606518,73.17853727943996,84.2343733717428,94.95074903766422,79.1684341559926,88.89029341683286,91.6810722434896,83.93625168903276,79.62051897555973,103.32616240892996,96.28926585465344,85.67317881452138,76.11188478495576,76.00603375887988,88.21271627721877,96.84459452953432,88.94589732930973,80.93926160105664,97.65868275286611,98.38833307363096,85.91320807947055,99.12569728236338,91.52389877666948,83.15373478739637,89.17695252745038,95.7610454123303,92.56535865095192,86.97534436113175,81.26970065312335,79.92533198127775,89.40721332711297,93.69278998164228,101.53255128210182,103.13567771256729,82.33732816742953,97.25530693227095,83.10552679825064,95.35934696645027,76.17833608244766,93.52591042673647,89.11072475099252,74.7463168928832,75.06599309569258,93.418543575549,90.21108052796274,82.58333089087006,99.25602733820293,88.22876555087163,93.16089777483415,88.2165564965891,93.0119756082038,77.7730997986412,101.43566257809758,77.24098017968254,102.05346104674102,77.77481245966918,84.16519596554407,101.36467852325434,81.94631139951358,101.1807182565875,96.64853786303836,76.42572932532606,81.93694634039639,101.55451969040156,95.1635063922208,80.06034247566744,101.6003185034751
Donna Thackaberry Line,86.16121856689378,71.35605159721555,75.78717573902645,83.28225145354827,75.33426149100245,75.586011989453,72.96242764679509,94.90681034098615,94.06636444351832,92.52114237876646,84.52026269522167,88.6456974982078,70.85145035228058,82.72907352167051,72.14035948369013,95.47826471720045,94.1163856803849,77.7844247607447,86.9987658405139,73.52830885675532,91.5083235504527,74.02020120626973,89.59769514003611,93.47660497209564,70.2657444422633,85.8411457923572,82.75198368835837,75.35029067960971,90.23144664128785,79.72765202625264,92.29562400312108,86.3279114706425,103.91069780055696,94.53383287348198,88.34650688258071,88.97720078632659,88.68943452889245,94.21518370866256,86.96932727090817,92.52833179928628,91.9507969615197,94.78053621656724,95.43277005315956,99.66055745554624,82.90935569485097,102.60612906065728,91.6731168501244,97.1787699288808,94.05501443247822,102.9402528660617,76.90744472920208,89.79495081866318,78.80543276049723,98.4709369021882,102.083331543006,84.65165646947457,87.77733485134483,76.18445772716592,90.13223942415328,81.898731708595,96.06961710588544,79.78131497299553,98.4138256597952,98.82576357454109,93.7449513813856,95.77746102835933,87.52346705976902,75.35707554230073,81.64187316497352,98.64319466210225,77.35326136889186,89.78657953783441,90.7011476684052,93.97929751842754,76.41915488541076,99.07596671668006,99.46867766910364,83.54496143572243,81.58472446888904,86.46118155062479,75.6634912625771,78.9134995301762,96.86307379819722,99.01601697694365,95.3003473357598,79.43244515251791,93.62150217718136,76.69363747014803,92.8331889699961,95.2541328304626,75.49304526950442,99.20754170071817,95.46092860456208
